time,Mode,Knee_Angle,Knee_Velocity,Knee_Current,Ankle_Angle,Ankle_Velocity,Ankle_Current,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Z,Gyro_Y,Shank_Angle,Thigh_Angle,Knee_Ref_Torque,Ankle_Ref_Torque,Filtered_Vertical_Load
0,1,0.0704112877793715,0.000152592547379986,-0.0426140120649841,0.0314594968515071,-0.00585446740114546,-0.0271614734336375,-0.00267545599739575,-0.160049236528621,0.000132246874395988,0.00183111056855983,-0.0536617124952951,-0.00260424614195176,-0.0419171727652821,-0.112267423525702,-0.0424665059358501,-0.0260017700735496,0.714860479547512
0.03,1,0.0686920784122237,-0.00576799829096347,-0.0400148523412783,0.0282652261930194,-0.0097913551235491,-0.0234890794600258,0.000356049277219967,-0.162104149500005,-0.00208543148085981,-0.0282804854477574,-0.0453555914995778,-0.0161036001668345,-0.0399792474135563,-0.108564511042614,-0.0380108035523545,-0.0173141677093824,0.689774264758243
0.06,1,0.0687276833399457,-0.000549333170567949,-0.0411287779371522,0.0261543626209296,-0.00725323241879533,-0.0208950061545661,0.00243130792158778,-0.160944446139917,0.00283822138126774,-0.0467238380077517,-0.0469883317565437,-0.0242215236874498,-0.0370799890133366,-0.105705943988362,-0.0421358887498601,-0.0188502660196743,0.655527410707928
0.09,1,0.0677002268542538,-0.0022176783552558,-0.0378836430962045,0.0237840917182938,-0.00734478794722332,-0.0184535253964863,-0.00200404878892382,-0.161636199021373,0.00633767713451542,-0.0339162368643249,-0.0554724773908709,-0.0261848811304056,-0.0340688294117049,-0.101667327901039,-0.0391349019847204,-0.0165918963184505,0.607979572944324
0.12,1,0.0660115359965819,-0.00517797377442752,-0.0403047781813003,0.0198268583229062,-0.0142317982523067,-0.0149642424797306,-0.000172938220363984,-0.160985137485885,0.00511693675547553,-0.0227668080690939,-0.0625934629352702,-0.0210679443749301,-0.0340993479211809,-0.100049846898811,-0.0379650257881405,-0.00881984923856319,0.535325174718467
0.15,1,0.0644856105227821,-0.00320444349497971,-0.0347198909471928,0.0165105136265145,-0.0043438011820836,-0.00298064109215573,-0.00208543148085981,-0.160252693258461,0.00426241849014761,-0.0208950061545661,-0.0456963815220598,-0.0387890255439924,-0.033051545762505,-0.097445600756859,-0.0364289274778486,-0.00840276294239123,0.455509099602242
0.18,1,0.0624306975513983,-0.00627664011556342,-0.0369273964659566,0.0156153040152186,-0.00526952930285552,-0.00491348002563555,-0.00277718436231574,-0.158909878841517,0.00450656656595559,-0.0243537705618458,-0.0521866512039552,-0.0797448652607807,-0.0337534714804529,-0.0960824406669312,-0.0349131748405408,-0.0122175766268909,0.375062308623513
0.21,1,0.0596942045350505,-0.00810775068412325,-0.032878607542141,0.0142216254158147,-0.000244148075807978,-0.00358083844518367,-0.00741599780266732,-0.160618915372173,0.00637836848048341,-0.0194809818821782,-0.0487075411236915,-0.113091423281554,-0.0349436933500168,-0.0945768608661153,-0.032115644805241,-0.0118818730226549,0.303272601499476
0.24,1,0.0574968718527787,-0.00594093651132745,-0.0314849289427371,0.0135807367168188,0.000152592547379986,-0.00768049155145929,-0.00676493626717938,-0.159886471144749,0.00735496078371532,-0.0141097242144027,-0.054038107445499,-0.172846664835556,-0.0389721366008484,-0.0963876257616911,-0.0319121880754011,-0.0122074037903989,0.231025116733299
0.27,1,0.054261909848323,-0.00997955259865108,-0.0289620654927213,0.011057873266803,-0.00753807184057131,-0.00784325693533128,-0.0118513545131789,-0.158096051922157,0.00422172714417961,-0.00497451704458754,-0.0720236823633534,-0.319915362000387,-0.043590604368216,-0.097771131524603,-0.0276599424217455,-0.00477106031474756,0.166437777845597
0.3,1,0.0505996887112033,-0.011302021342611,-0.0258593503626616,0.0097862687053031,1.01728364919991e-05,-0.0032247891679637,-0.0257677948342336,-0.163182470168157,0.00723288674581133,0.0252591530096337,-0.102196315398623,-0.611865596484268,-0.0576494644001587,-0.108198288928902,-0.0244046347443058,-0.00827051606799524,0.106784264656514
0.33,1,0.0471510971404157,-0.00963367615792311,-0.0233059684031699,0.00907417015086317,0.000152592547379986,-0.0053916033407595,-0.0239773756116418,-0.161961729789117,-0.00269580167037975,0.0265816217535936,-0.103620512507502,-0.816593930885749,-0.0739260027873572,-0.121016062908821,-0.0233263140761539,-0.00790429395428327,0.0554826502273629
0.36,1,0.0446078880174159,-0.00825017039501124,-0.0234992522965178,0.00841293577888323,0.000152592547379986,-0.00638854131697541,-0.0163274025696585,-0.177465132602924,0.0150049338256986,-0.0229499191259499,-0.0934985401979634,-0.879228085166987,-0.0822473830378124,-0.126773888363292,-0.0227261167231259,-0.00735496078371532,0.0168767357402264
0.39,1,0.043926307972452,-0.00120039470605589,-0.0238553015737378,0.00779239275287128,0.000152592547379986,-0.00665303506576739,-0.0132755516220588,-0.155491805780206,0.0263985106967376,-0.0631326232693462,-0.0708639790032655,-0.824254076764224,-0.0857977029735201,-0.12966297392702,-0.0253201900285857,-0.00672424492121138,0.00475071464176356
0.42,1,0.0419629505294961,-0.00569678843551948,-0.0256457207963296,0.00723288674581133,0.000152592547379986,-0.00665303506576739,-0.0301624601987772,-0.156509089429406,0.0198878953418582,-0.032970163070569,-0.0899787387717317,-0.849991353088982,-0.097415082247383,-0.139266131575467,-0.0229499191259499,-0.00622577593310343,0.00225836970122379
0.45,1,0.0407422101504562,-0.00266528316090375,-0.0209662160100101,0.00660217088330739,0.000152592547379986,-0.00628681295205542,-0.0379345072786645,-0.154718670206814,-0.00171920936714784,-0.0154728843043306,-0.119296853541673,-0.845128737245806,-0.116133101392661,-0.156793928851182,-0.0222988575904619,-0.00564592425305948,0.00173955504013184
0.48,1,0.0405794447665843,8.13826919359925e-05,-0.0233263140761539,0.00610370189519944,0.000152592547379986,-0.00576799829096347,-0.0476190476190476,-0.153904843287454,-0.0195827102470982,-0.0086977752006592,-0.171208838160344,-0.721976378673666,-0.141982278918831,-0.182500686666463,-0.0242622150334178,-0.00518814661091952,0.00167851802117985
0.51,1,0.0383515935748365,-0.0065614795373394,-0.0225633513392539,0.00569678843551948,0.000152592547379986,-0.0054628131962035,-0.0520137129835912,-0.155329040396334,-0.0236111534979298,-0.0257677948342336,-0.224127933591723,-0.519852290414136,-0.171666615802484,-0.209926653848893,-0.0202134261096021,-0.00485244300668355,0.00167851802117985
0.54,1,0.0363475447859127,-0.00495417137160354,-0.0198878953418582,0.00524918362987152,0.000152592547379986,-0.00509659108249153,-0.0441195918657999,-0.15561387981811,-0.0268257698294015,0.00822982472202724,-0.244371878210802,-0.372305469934182,-0.198014262316762,-0.23429059724723,-0.0197047842850022,-0.00428276416313161,0.00167851802117985
0.57,1,0.0342315947955768,-0.00527970213934751,-0.0172836491999064,0.00490330718914355,0.000152592547379986,-0.00478123315123956,-0.0333363851842809,-0.158665730765709,-0.0190944140954822,0.032542903937905,-0.253171381776381,-0.336853134759565,-0.21332438123722,-0.247454247667877,-0.0167750073753065,-0.00402844325083163,0.00167851802117985
0.6,1,0.0340586565752129,-0.000101728364919991,-0.0189418215481023,0.00447604805647959,0.000152592547379986,-0.0043132826726076,-0.021739351583402,-0.158625039419741,-0.0125837987406028,0.0561133660898668,-0.275826288644063,-0.373902605263426,-0.219438255968912,-0.253425702688681,-0.0201116977446821,-0.00366222113711966,0.00167851802117985
0.63,1,0.0339162368643249,0.000152592547379986,-0.0200811792352062,0.00417086296171962,0.000152592547379986,-0.00400809757784763,0.0412508519750562,-0.172907701854508,0.00702943001597135,0.0662862025818659,-0.248034099347921,-0.449252805159663,-0.215328430026144,-0.249183629871517,-0.0202948088015381,-0.0032654805139317,0.00167851802117985
0.66,1,0.0339365825373089,0.000152592547379986,-0.0201625619271421,0.00342824589780368,0.000152592547379986,-0.00368256681010366,0.054597613452559,-0.17713960183518,0.0246487828201137,0.076326792199469,-0.210099592069257,-0.528448337249875,-0.224921414838099,-0.25876644184698,-0.0202948088015381,-0.00277718436231574,0.00167851802117985
0.69,1,0.032481866918953,-0.00445570238349559,-0.0204372285124261,0.00250251777703177,0.000152592547379986,-0.00332651753288369,0.0883714306059959,-0.17103589993998,0.0202948088015381,0.075746940519425,-0.0951668853826513,-0.540442111473942,-0.234738202052878,-0.267189550462355,-0.0180567847732983,-0.00192266609698782,0.00167851802117985
0.72,1,0.0309762871181372,-0.00379446801151565,-0.0154830571408226,0.00165817234819585,0.000152592547379986,-0.00145471561835587,0.0608233893856624,-0.163752149011709,0.0315256202887051,0.0399589017405723,0.011271502833135,-0.540452284310434,-0.23474837488937,-0.265643279315572,-0.0156763410341706,-0.0010376293221839,0.00167851802117985
0.75,1,0.0302133243812372,-0.00150557980081586,-0.0175684886216824,0.0010579749951679,0.000152592547379986,0.00065106153548794,-0.00774152857041129,-0.151788893297118,0.0187892290007223,0.021505376344086,-0.00816878770307525,-0.397391684723451,-0.208115888953317,-0.238237657806126,-0.0179957477543463,-0.000488296151615955,0.00167851802117985
0.78,1,0.0247098198390657,-0.0153202917569506,-0.0130517492192348,0.000712098554439934,0.000152592547379986,0.000681580044963937,-0.011159601631723,-0.15581733654795,0.0177719453515224,0.0141707612333547,-0.0265104118981496,-0.269458093000071,-0.192581967630034,-0.217220577613656,-0.00804671366517126,-0.000305185094759972,0.00167851802117985
0.81,1,0.0165918963184505,-0.0229600919624419,-0.000610370189519944,0.000467950478631957,0.000152592547379986,0.00065106153548794,-0.0157170323801386,-0.157078768272958,0.00926745404421115,0.00411999877925962,0.00888088625751518,-0.205023346659749,-0.174525182856736,-0.191045869319742,0.00172938220363984,9.15555284279916e-05,0.00167851802117985
0.84,1,0.0146387117119867,-0.00390636921292764,-0.0021464684998118,0.000223802402823979,0.000152592547379986,0.000640888698995941,-0.0234890794600258,-0.156671854813278,0.00320444349497971,0.000559506007059949,0.0391755933306884,-0.176234219387392,-0.165135654774621,-0.179662465285195,-0.0054628131962035,0.000152592547379986,0.00167851802117985
0.87,1,0.0138554033021027,5.08641824599953e-05,-0.00669372641173538,0.000152592547379986,0.000152592547379986,0.000661234371979939,-0.0193385621712902,-0.154840744244718,0.0102847376934111,0.00155644398327586,0.0613218583737704,-0.177180293181148,-0.156041138950774,-0.169794813887956,-0.00799584948271126,0.000152592547379986,0.00167851802117985
0.9,1,0.0138960946480707,0.000152592547379986,-0.00797550380972727,0.000152592547379986,0.000152592547379986,0.000661234371979939,-0.00782291126234728,-0.155939410585854,0.0133365886410108,0.00086469110181992,0.0560726747438988,-0.180791650135807,-0.141972106082339,-0.15576647236549,-0.00808740501113926,0.000152592547379986,0.00167851802117985
0.93,1,0.0144657734916227,0.000152592547379986,-0.00802636799218726,-5.08641824599953e-05,0.000152592547379986,0.000630715862503942,0.000966419466739911,-0.162002421135085,0.0101219723095391,-0.0102440463474431,0.0445570238349559,-0.130568356374808,-0.120487075411237,-0.1349019847204,-0.00823999755851924,0.000152592547379986,0.00167851802117985
0.96,1,0.0151168350271106,0.000152592547379986,-0.00839259010589923,-0.000223802402823979,0.000152592547379986,0.000620543026011943,-0.0043234555090996,-0.163223161514125,0.011342712688579,-0.011098564612771,0.0463372702210557,-0.0314137190872931,-0.102186142562131,-0.117221594897305,-0.00854518265327921,0.000152592547379986,0.00167851802117985
0.99,1,0.0155186620685446,0.000152592547379986,-0.00878933072908719,-0.000284839421775974,0.000152592547379986,0.00065106153548794,-0.010854416536963,-0.165888444675029,0.0011291848506119,0.00748720765811131,0.0346588539282408,0.0195369324828842,-0.0926491083508815,-0.108096560563982,-0.00897244178594317,0.000152592547379986,0.00887579983926918
1.02,1,0.0159560940377005,0.000152592547379986,-0.00905382447787917,-0.000305185094759972,0.000152592547379986,0.000620543026011943,-0.010956144901883,-0.163223161514125,0.00503555406353954,0.0087384665466272,0.0282092755923134,0.0160425631478825,-0.0859452091026541,-0.101819920448419,-0.00906399731437117,0.000152592547379986,0.0268664611753695
1.05,1,0.0163579210791345,0.000152592547379986,-0.00930814539017914,-0.000284839421775974,0.000152592547379986,0.000610370189519944,-0.00936918240913114,-0.160863063447981,0.00888088625751518,0.0187027598905403,0.0151727856278166,-0.00501012197230954,-0.0807774081647186,-0.0970641193884091,-0.00961333048493912,0.000152592547379986,0.0332702617470829
1.08,1,0.0166275012461725,0.000152592547379986,-0.00952686137475712,-0.000239061657561978,0.000152592547379986,0.000610370189519944,-0.0101016266365551,-0.162572099978637,0.00814844203009125,0.0278990040793074,0.00688701030508337,-0.00033061718598997,-0.075986002176987,-0.0925524664042075,-0.00961333048493912,0.000152592547379986,0.0346944588559628
1.11,1,0.0168513036489964,0.000152592547379986,-0.00954720704774112,-0.000147506129133986,0.000152592547379986,0.000661234371979939,-0.0122786136458429,-0.161636199021373,0.00963367615792311,0.0454980112104658,0.00370291248308766,-0.0271207820876695,-0.0737632374034852,-0.0905280719422997,-0.00972014526810511,0.000152592547379986,0.0206661173334961
1.14,1,0.0171768344167404,0.000152592547379986,-0.00994903408917508,0,0.000152592547379986,0.000620543026011943,-0.0130720948922188,-0.163813186030661,0.00633767713451542,0.0631173640146082,0.00159204891099785,-0.0516881822158472,-0.0728324228644673,-0.0899126153345337,-0.0100711081270791,0.000152592547379986,0.00603249203975545
1.17,1,0.0173395998006124,0.000152592547379986,-0.00995412050742108,0,0.000152592547379986,0.00065106153548794,-0.0181381674652343,-0.164362519201229,0.00196335744295582,0.0639617094434441,-0.00805688650166326,-0.117425051627145,-0.0747296568702251,-0.0920183924883775,-0.0100711081270791,0.000152592547379986,0.00251777703176977
1.2,1,0.0176447848953724,0.000152592547379986,-0.0100202439446191,0,0.000152592547379986,0.000620543026011943,-0.0207017222612181,-0.163731803338725,-0.00584938098289946,0.0588854640339366,-0.0308236945707572,-0.212871690013326,-0.0798008158614867,-0.097343872391939,-0.0101779229102451,0.000152592547379986,0.00180059205908383
