time,Mode,Knee_Angle,Knee_Velocity,Knee_Current,Ankle_Angle,Ankle_Velocity,Ankle_Current,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Z,Gyro_Y,Shank_Angle,Thigh_Angle,Knee_Ref_Torque,Ankle_Ref_Torque,Filtered_Vertical_Load
0,1,0.0283110039572334,-0.00143436994537187,-0.0191656239509262,0.00518814661091952,0.000152592547379986,-0.00429293699962361,-0.00623594876959543,-0.160008545182653,-0.0209662160100101,-0.0248115482039857,0.0136926379182307,-0.00787377544480728,-0.0472935168513037,-0.0755333109530931,-0.0163274025696585,-0.00411999877925962,0.25902076275928
0.03,1,0.0300607318338572,0.0054628131962035,-0.0173650318918424,0.00518814661091952,0.000152592547379986,-0.0043438011820836,-0.00615456607765943,-0.159683014414909,-0.0203965371664581,-0.0236314991709138,0.0197149571214942,-0.00489313435265155,-0.0454217149367758,-0.0753807184057131,-0.0207932777896461,-0.00411999877925962,0.266273995178076
0.06,1,0.0299386577959532,0.000498468988107954,-0.0191147597684662,0.00518814661091952,0.000152592547379986,-0.00407930743329162,-0.00517797377442752,-0.159479557685069,-0.0205593025503301,-0.0207627592801701,0.0123294778283029,-0.00333669036937569,-0.0416984567807042,-0.0715760775577054,-0.0180974761192663,-0.00411999877925962,0.277179275897499
0.09,1,0.0299081392864772,0.000152592547379986,-0.0175888342946664,0.00518814661091952,0.000152592547379986,-0.00422172714417961,-0.0054221218502355,-0.159845779798781,-0.0201116977446821,-0.021708833073926,0.0153101189204586,-0.00381481368449965,-0.0395926796268604,-0.0693787448754336,-0.0178533280434584,-0.00411999877925962,0.288410087384665
0.12,1,0.0299590034689372,0.000152592547379986,-0.0177515996785384,0.00521866512039552,0.000152592547379986,-0.0043132826726076,-0.00481175166071556,-0.159316792301197,-0.0199082410148422,-0.0209153518275501,0.0149438968067466,-0.00265511032441176,-0.0372631000701926,-0.0671610665201778,-0.0178533280434584,-0.00411999877925962,0.304371267840612
0.15,1,0.0300607318338572,0.000152592547379986,-0.0177821181880144,0.00534073915829951,0.000152592547379986,-0.00406913459679963,-0.00379446801151565,-0.160293384604429,-0.0190537227495142,-0.021739351583402,0.0103152562028871,-0.00550350454217149,-0.0346283354187648,-0.0645568203782261,-0.0178533280434584,-0.00411999877925962,0.319335510320343
0.18,1,0.0299793491419212,0.000152592547379986,-0.0177414268420464,0.00534073915829951,0.000152592547379986,-0.00404878892381563,-0.00407930743329162,-0.159967853836685,-0.0189723400575783,-0.0189011302021343,0.00707012136193935,-0.00537125766777551,-0.032308928698589,-0.0622272408215583,-0.0178533280434584,-0.00411999877925962,0.331400494399854
0.21,1,0.0299081392864772,0.000152592547379986,-0.0176905626595864,0.00534073915829951,0.000152592547379986,-0.00422172714417961,-0.00371308531957966,-0.159967853836685,-0.0199896237067782,-0.0161849828587705,0.00688701030508337,-0.00396740623187963,-0.0305795464949492,-0.0603961302529984,-0.0178533280434584,-0.00411999877925962,0.336924344615009
0.24,1,0.0299081392864772,0.000152592547379986,-0.0177617725150304,0.00534073915829951,0.000152592547379986,-0.00407930743329162,-0.00411999877925962,-0.159560940377005,-0.0183619698680583,-0.0146488845484787,0.00845362712485122,-0.00405896176030763,-0.0288908556372773,-0.0586565752128666,-0.0178533280434584,-0.00411999877925962,0.345845922218492
0.27,1,0.0299488306324452,0.000152592547379986,-0.0178126366974904,0.00534073915829951,0.000152592547379986,-0.00404878892381563,-0.00452691223893958,-0.160578224026205,-0.0187688833277383,-0.010559404278695,0.00713115838089134,-0.0032756533504237,-0.0278735719880774,-0.0577511927650787,-0.0178533280434584,-0.00411999877925962,0.352783796706036
0.3,1,0.0301217688528092,0.000152592547379986,-0.0178126366974904,0.00534073915829951,0.000152592547379986,-0.00404878892381563,-0.00375377666554765,-0.159967853836685,-0.0184026612140263,-0.011302021342611,0.00828068890448724,-0.00273649301634775,-0.0266528316090375,-0.0567237362793868,-0.0178533280434584,-0.00411999877925962,0.357626066876227
0.33,1,0.0303353984191412,0.000152592547379986,-0.0177210811690624,0.00534073915829951,0.000152592547379986,-0.00406913459679963,-0.00350962858973968,-0.160374767296365,-0.0174667602567624,-0.010925626392407,0.00735496078371532,-0.0010681478316599,-0.0254626097394737,-0.0557267983031709,-0.0178533280434584,-0.00411999877925962,0.364482558671834
0.36,1,0.0305795464949492,0.000152592547379986,-0.0180466119368063,0.00534073915829951,0.000152592547379986,-0.00404878892381563,-0.00391654204941964,-0.160374767296365,-0.0180364391003143,-0.00782291126234728,0.00590024516535946,-0.00185145624154383,-0.0244249804172898,-0.0549231442203029,-0.0182195501571703,-0.00411999877925962,0.371318704794458
0.39,1,0.0308033488977732,0.000152592547379986,-0.0183517970315663,0.00534073915829951,0.000152592547379986,-0.00406913459679963,-0.00403861608732363,-0.159927162490717,-0.0184026612140263,-0.00689718314157537,0.00376394950203965,-0.00149540696432386,-0.0239265114291818,-0.054607786289051,-0.0183111056855983,-0.00411999877925962,0.375448876410209
0.42,1,0.0308236945707572,0.000152592547379986,-0.0182602415031383,0.00534073915829951,0.000152592547379986,-0.00425224565365561,-0.00306202378409172,-0.160374767296365,-0.0164494766075625,-0.00587989949237546,0.00132246874395988,0.00184128340505183,-0.0231330301828059,-0.053875342061627,-0.0183111056855983,-0.00411999877925962,0.377747937457401
