time,Mode,Knee_Angle,Knee_Velocity,Knee_Current,Ankle_Angle,Ankle_Velocity,Ankle_Current,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Z,Gyro_Y,Shank_Angle,Thigh_Angle,Knee_Ref_Torque,Ankle_Ref_Torque,Filtered_Vertical_Load
0,1,0.0159916989654225,0.000152592547379986,-0.00903347880489517,0.0593585009308145,0.000152592547379986,-0.0517593920712912,0.00890123193049918,-0.160781680756045,-0.0193792535172582,0.0453911964272998,0.00158696249275185,-0.0043336283455916,0.0523494165878272,0.0364289274778486,-0.00900296029541917,-0.0520340586565752,0.609424115726188
0.03,1,0.0145064648375907,-0.00614439324116743,-0.00847397279783522,0.0592567725658946,0.000152592547379986,-0.0521052685120192,0.00829086174097924,-0.162612791324605,-0.0203965371664581,0.0491754916023235,0.00991851557969909,-0.00315357931251971,0.0517390463983072,0.0373444827621286,-0.00599180069378745,-0.0520340586565752,0.545396282845546
0.06,1,0.0158594520910265,0.00423189998067161,-0.00622577593310343,0.0581072420422987,-0.00620543026011943,-0.0520137129835912,0.00833155308694723,-0.164077679779453,-0.0211696727398501,0.0553605761894589,0.0191757967874182,0.000132246874395988,0.0521968240404472,0.0364899644968006,-0.0101830093284911,-0.0480056154057436,0.454369741915138
0.09,1,0.0150151066621906,-0.00423189998067161,-0.00896226894945118,0.0568458103172908,-0.00132246874395988,-0.0440280363373719,0.00589007232886746,-0.167129530727053,-0.0145776746930347,0.0687378561764377,0.0191452782779422,-0.0165715506454665,0.0530106509598071,0.0380972726625365,-0.00606301054923144,-0.0475783562730796,0.328725038402458
0.12,1,0.0174260689107944,0.00621560309661143,-0.00999989827163508,0.0532039348531551,-0.0197759941404462,-0.043753369752088,-0.00257372763247576,-0.17856379894406,-0.00363170262764367,0.0816573585212765,0.00167851802117985,-0.105258339182714,0.0536006754763431,0.0362458164209927,-0.0135603910438348,-0.0365306558427686,0.176763206884976
0.15,1,0.0176803898230944,0.000569678843551948,-0.0115970336008789,0.0404777164016643,-0.0480666524246956,-0.0237128818628498,-0.0102237006744591,-0.176285083569852,0.00279753003529974,0.0779747917111728,-0.0340179652292449,-0.253812270475377,0.0522883795688752,0.0346893724377168,-0.010650959807123,-0.00415051728873562,0.0554012675354269
0.18,1,0.0180364391003143,0.000152592547379986,-0.010508540096235,0.0295927813552253,-0.0263273008412936,0.00172938220363984,-0.0471714428133997,-0.153335164443902,0.0139062674845627,-0.0334686320586769,-0.128228603981648,-0.382152775658437,0.0243130792158778,0.00638854131697541,-0.010528885769219,-0.00257372763247576,0.0140690328684347
0.21,1,0.0161951556952625,-0.00691752881455936,-0.00917589851578316,0.0288399914548173,-4.06913459679963e-05,-0.00928779971719515,-0.054495885087639,-0.142877488530127,-0.00021362956633198,-0.0922777998189235,-0.196712139245786,-0.414705852432834,-0.0227057710501419,-0.0388297168899604,-0.00627664011556342,-0.0247606840215257,0.00420138147119561
0.24,1,0.0161137730033265,-0.00145471561835587,-0.00641905982645141,0.0247199926755577,-0.0183416241950743,-0.0150557980081586,-0.0509150466424553,-0.137262082786543,-0.00924710837122715,-0.134067812128056,-0.251645456302581,-0.382040874457025,-0.065177363404238,-0.0811995808791365,-0.00805688650166326,-0.0115156509089429,0.0021668141727958
0.27,1,0.0164596494440545,0.000132246874395988,-0.0087181208736432,0.0195420189011302,-0.0128279468164108,-0.00288908556372773,-0.0411898149561042,-0.139825637582527,-0.011322367015595,-0.143101290932951,-0.295866776533301,-0.347382020528784,-0.110741498051902,-0.127150283313496,-0.00957263913897112,-0.00525935646636352,0.00172938220363984
